"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp22610_c0_seq1"	196,041402645011	-12,3323520454089	4,71168350097166	-2,61739822780238	0,00886029053754411	0,0120348331365572
"comp52197_c0_seq1"	179,098190255405	-12,2019528164005	4,71168896538356	-2,58971950526602	0,00960541626258893	0,012977530482434
"comp2713_c0_seq1"	20578,4104196381	-0,695559370643926	0,271808636852835	-2,55900393268416	0,0104972553878827	0,0141074225847735
"comp2229_c0_seq6"	4314,01895433466	1,44472614956565	0,568527007428183	2,54117417587792	0,0110480866457002	0,0147695474105676
"comp23314_c0_seq1"	149,410178532148	-11,9404983467089	4,71170152830182	-2,53422214352624	0,0112697263140676	0,0149869658836291
"comp18714_c0_seq1"	144,268416027575	-11,8899778743749	4,71170422943904	-2,52349835545396	0,0116193604056843	0,0153714455366865
"comp3272_c0_seq3"	30158,2962538435	-0,81494200218969	0,328732657476653	-2,47904180997766	0,0131735863129092	0,0173372586708754
"comp15460_c0_seq1"	118,245631792369	-11,6030272982372	4,71172150268432	-2,46258767451064	0,0137938443677136	0,0180599818010271
"comp3715_c0_seq1"	17389,2942991821	-0,379525388782171	0,156190929735443	-2,42988110401169	0,0151037766188042	0,0196736372368013
"comp20001_c0_seq1"	97,8789918077905	-11,3303288109253	4,71174142845435	-2,40470089094895	0,016185707393071	0,0209753554991838
"comp36452_c0_seq1"	89,9023882359048	-11,2076971196628	4,71175169257895	-2,37866887962603	0,0173752758589603	0,0224026399399793
"comp2487_c0_seq1"	25599,3818675638	-0,655280403444427	0,278985495352379	-2,34879739040468	0,0188341521923432	0,0241609831154302
"comp857_c0_seq1"	30200,9156885337	-0,579418467742283	0,250592024943706	-2,31219835456633	0,0207667549282487	0,026506310310428
"comp29648_c0_seq1"	69,4673686906061	-10,8356943604102	4,71178874236561	-2,29969868194261	0,0214652968557621	0,0272609270068178
